order_id,client_id,measurement_id,artisan_id,garment_type,fabric_type,order_complexity_score,order_status,order_date,delivery_date,delivery_days,delivered_on_time,client_age,client_location,client_gender,chest_cm,waist_cm,hip_cm,shoulder_cm,arm_length_cm,inseam_cm,recorded_at,artisan_location,years_experience,average_rating,specialty
1,79,155,40,Suit,Wool,4.96,In Progress,2025-04-22 06:40:38.409278,2025-04-25 06:40:38.409278,3,1,55,Lagos,Female,98.88,82.77,128.93,38.5,72.35,91.34,2023-06-09 06:40:38.395290,Kano,5,4.75,Corporate
2,224,440,91,Kaftan,Linen,4.83,Pending,2025-09-04 06:40:38.410003,2025-09-18 06:40:38.410003,14,1,50,Kano,Male,87.09,84.2,104.73,36.95,51.65,74.83,2024-10-20 06:40:38.401017,Kano,18,4.43,Corporate
3,263,524,4,Dress,Wool,3.1,Completed,2025-02-20 06:40:38.410623,2025-02-28 06:40:38.410623,8,1,52,Port Harcourt,Male,95.6,92.56,120.58,50.59,54.1,70.35,2025-03-23 06:40:38.402687,Kano,12,4.84,Corporate
4,262,523,60,Suit,Ankara,2.32,Completed,2025-04-17 06:40:38.411158,2025-04-27 06:40:38.411158,10,1,50,Kano,Female,87.28,95.56,89.51,36.63,52.29,68.39,2023-10-07 06:40:38.402667,Ibadan,11,4.9,Bridal
5,300,600,77,Kaftan,Wool,3.11,In Progress,2025-10-22 06:40:38.411819,2025-11-06 06:40:38.411819,15,0,52,Kano,Male,98.38,60.38,102.46,43.8,60.42,93.11,2023-06-28 06:40:38.404200,Abuja,9,4.11,Menswear
6,291,579,113,Shirt,Silk,2.96,Completed,2025-04-12 06:40:38.412367,2025-04-17 06:40:38.412367,5,1,52,Abuja,Female,119.4,77.19,80.13,49.05,68.15,69.52,2026-01-30 06:40:38.403751,Abuja,18,4.05,Womenswear
7,80,157,105,Agbada,Ankara,2.56,Completed,2025-05-30 06:40:38.412860,2025-06-15 06:40:38.412860,16,0,33,Kano,Female,87.36,109.26,117.44,54.38,60.19,82.65,2025-03-02 06:40:38.395325,Lagos,4,3.83,Menswear
8,85,168,63,Shirt,Ankara,3.21,Pending,2025-04-04 06:40:38.413424,2025-04-23 06:40:38.413424,19,0,36,Kano,Male,83.0,93.38,86.51,42.41,56.09,81.81,2025-10-30 06:40:38.395537,Ibadan,10,3.6,Corporate
9,236,463,46,Agbada,Cotton,1.38,Completed,2025-08-24 06:40:38.413918,2025-09-09 06:40:38.413918,16,0,31,Kano,Female,86.78,109.86,86.72,45.1,68.51,90.1,2025-10-24 06:40:38.401510,Lagos,5,4.12,Womenswear
10,296,590,119,Agbada,Linen,2.41,Pending,2025-05-25 06:40:38.414361,2025-06-10 06:40:38.414361,16,0,21,Port Harcourt,Male,95.63,71.87,99.85,51.65,71.24,84.57,2023-09-01 06:40:38.403951,Kano,12,3.92,Bridal
11,75,147,36,Dress,Cotton,3.67,Completed,2025-06-04 06:40:38.414831,2025-06-20 06:40:38.414831,16,0,34,Kano,Male,116.84,99.7,126.91,54.25,59.88,78.92,2023-11-09 06:40:38.395130,Kano,19,3.91,Womenswear
12,118,232,66,Dress,Silk,1.29,Completed,2025-04-23 06:40:38.415257,2025-05-08 06:40:38.415257,15,0,49,Abuja,Female,96.3,100.43,86.94,45.49,65.89,87.13,2024-06-01 06:40:38.396825,Ibadan,12,4.39,Kidswear
13,200,394,90,Suit,Linen,4.05,Completed,2025-09-22 06:40:38.415712,2025-09-25 06:40:38.415712,3,1,47,Port Harcourt,Female,101.4,67.56,100.23,35.0,50.76,82.86,2025-10-02 06:40:38.400075,Kano,15,3.97,Womenswear
14,83,164,6,Kaftan,Cotton,1.17,Pending,2025-04-05 06:40:38.416150,2025-04-26 06:40:38.416150,21,0,50,Port Harcourt,Female,82.8,103.25,121.88,40.24,73.16,80.83,2026-02-02 06:40:38.395454,Kano,6,4.52,Corporate
15,221,436,71,Kaftan,Ankara,3.02,In Progress,2025-03-31 06:40:38.416611,2025-04-12 06:40:38.416611,12,1,59,Ibadan,Male,112.92,100.0,84.94,42.49,69.93,94.3,2024-08-03 06:40:38.400938,Kano,9,3.75,Womenswear
16,95,187,48,Shirt,Wool,2.04,In Progress,2025-12-17 06:40:38.417144,2026-01-07 06:40:38.417144,21,0,26,Abuja,Male,109.05,93.09,127.12,54.76,57.46,76.39,2023-08-12 06:40:38.395999,Abuja,15,4.01,Kidswear
17,31,62,54,Shirt,Silk,4.94,In Progress,2026-02-02 06:40:38.417603,2026-02-10 06:40:38.417603,8,1,30,Lagos,Female,105.99,95.87,88.12,51.12,73.34,82.29,2023-08-14 06:40:38.393366,Ibadan,7,3.97,Womenswear
18,290,578,107,Shirt,Ankara,3.38,In Progress,2025-06-11 06:40:38.418056,2025-06-23 06:40:38.418056,12,1,40,Lagos,Male,113.06,94.6,100.14,35.27,68.35,84.97,2025-12-06 06:40:38.403732,Abuja,9,3.66,Kidswear
19,175,338,23,Kaftan,Silk,3.74,In Progress,2025-05-12 06:40:38.418509,2025-05-22 06:40:38.418509,10,1,21,Port Harcourt,Female,99.47,63.95,89.84,54.07,52.76,94.85,2024-03-13 06:40:38.398829,Abuja,5,4.55,Kidswear
20,240,470,75,Dress,Linen,2.75,Pending,2025-06-27 06:40:38.418956,2025-07-05 06:40:38.418956,8,1,41,Kano,Female,117.15,86.72,117.29,37.66,58.25,68.94,2025-02-16 06:40:38.401636,Lagos,6,4.61,Kidswear
21,295,587,15,Agbada,Ankara,4.41,Pending,2025-12-06 06:40:38.419391,2025-12-13 06:40:38.419391,7,1,45,Abuja,Male,92.23,92.53,126.51,46.76,66.0,87.05,2023-06-12 06:40:38.403900,Port Harcourt,16,4.38,Corporate
22,206,404,109,Shirt,Wool,2.12,Completed,2025-06-13 06:40:38.419844,2025-06-20 06:40:38.419844,7,1,53,Kano,Male,112.35,102.25,121.78,40.94,52.93,86.84,2023-06-25 06:40:38.400345,Abuja,15,4.78,Womenswear
23,90,175,112,Agbada,Wool,1.21,Pending,2025-05-20 06:40:38.420279,2025-06-08 06:40:38.420279,19,0,43,Port Harcourt,Female,89.42,91.99,102.41,44.24,55.27,90.61,2024-01-15 06:40:38.395698,Ibadan,15,4.82,Menswear
24,123,241,70,Agbada,Linen,2.31,Completed,2025-12-12 06:40:38.420706,2025-12-22 06:40:38.420706,10,1,53,Ibadan,Female,80.36,107.08,103.29,43.24,65.83,91.02,2025-06-14 06:40:38.397017,Port Harcourt,4,3.64,Womenswear
25,82,163,82,Agbada,Linen,1.0,Pending,2025-12-10 06:40:38.421169,2025-12-24 06:40:38.421169,14,1,31,Ibadan,Female,87.38,64.41,89.52,52.49,52.99,87.25,2025-05-23 06:40:38.395430,Ibadan,6,4.23,Bridal
26,244,479,102,Shirt,Ankara,2.96,Completed,2025-07-27 06:40:38.421612,2025-08-12 06:40:38.421612,16,0,18,Ibadan,Female,100.81,65.87,109.32,46.23,51.76,67.63,2024-01-28 06:40:38.401801,Abuja,13,4.74,Corporate
27,39,76,66,Kaftan,Linen,3.66,Pending,2025-09-02 06:40:38.422090,2025-09-09 06:40:38.422090,7,1,34,Kano,Female,86.14,108.45,92.67,43.82,64.8,89.74,2024-08-22 06:40:38.393626,Ibadan,12,4.39,Kidswear
28,17,31,70,Kaftan,Silk,2.33,Pending,2025-08-07 06:40:38.422527,2025-08-10 06:40:38.422527,3,1,54,Port Harcourt,Male,93.72,95.01,91.49,49.23,64.32,86.58,2023-07-16 06:40:38.392812,Port Harcourt,4,3.64,Womenswear
29,13,25,6,Shirt,Ankara,1.2,In Progress,2025-12-06 06:40:38.422929,2025-12-14 06:40:38.422929,8,1,48,Kano,Male,80.55,64.95,86.79,37.15,60.56,77.72,2025-04-18 06:40:38.392703,Kano,6,4.52,Corporate
